Country Code,Number of Bed-places,Percentage of individuals online
AT,601945.0,64.73
BE,129232.0,70.78
BG,281869.0,44.7
CH,271710.0,
CY,83251.0,62.24
CZ,317756.0,
DE,1784654.0,67.89
DK,90503.0,81.87
EE,32404.0,61.87
EL,797995.0,47.06
ES,1893978.0,72.13
FI,135177.0,75.79
FR,1312372.0,60.54
HR,167380.0,51.54
HU,181407.0,58.11
IE,150083.0,68.74
IS,29403.0,
IT,2248225.0,29.24
LI,1660.0,
LT,28665.0,44.83
LU,15689.0,78.2
LV,26164.0,48.39
ME,35518.0,
MK,19567.0,57.0
MT,41684.0,63.83
NL,261164.0,78.41
NO,187943.0,80.46
PL,325776.0,32.06
PT,337175.0,50.7
RO,213635.0,44.3
SE,240883.0,79.74
SI,45716.0,54.31
SK,95774.0,58.49
TR,1240035.0,52.7
UK,1950485.0,81.42
