indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,EMPL_UNE,PC_IND,AL	: 	: 	: 	: 	: 	: 	59.62 	73.96 
I_IUMD,EMPL_UNE,PC_IND,AT	52.66 	59.77 	65.77 	73.77 	73.61 	83.38 	82.36 	90.39 
I_IUMD,EMPL_UNE,PC_IND,BA	: 	: 	: 	: 	: 	: 	72.53 	64.82 
I_IUMD,EMPL_UNE,PC_IND,BE	49.43 	52.31 	66.82 	76.72 	79.81 	83.69 	85.79 	92.73 
I_IUMD,EMPL_UNE,PC_IND,BG	14.96 	22.46 	30.94 	44.18 	52.58 	67.26 	67.79 	76.55 
I_IUMD,EMPL_UNE,PC_IND,CH	: 	: 	67.21 	: 	: 	75.65 b	: 	92.81 
I_IUMD,EMPL_UNE,PC_IND,CY	26.08 	30.62 	47.40 	64.65 	69.62 	77.93 	82.99 	86.70 
I_IUMD,EMPL_UNE,PC_IND,CZ	: u	31.88 	42.63 	51.13 	: u	69.28 	76.05 	83.26 
I_IUMD,EMPL_UNE,PC_IND,DE	36.56 	50.51 	63.65 	71.51 	76.28 	83.39 	87.12 	85.72 
I_IUMD,EMPL_UNE,PC_IND,DK	66.68 	72.53 	82.61 	85.50 	88.34 	89.66 	93.98 	96.02 
I_IUMD,EMPL_UNE,PC_IND,EA	39.33 	48.28 	58.53 	63.80 	66.93 	73.35 	77.29 	82.01 
I_IUMD,EMPL_UNE,PC_IND,EE	41.72 	51.71 	64.31 b	68.69 	70.06 	76.17 	79.52 	86.66 
I_IUMD,EMPL_UNE,PC_IND,EL	27.79 	31.75 	46.14 	54.65 	57.86 	63.57 	66.53 	75.07 
I_IUMD,EMPL_UNE,PC_IND,ES	43.87 	58.35 	71.16 	76.48 	81.77 	86.69 	89.01 	93.05 
I_IUMD,EMPL_UNE,PC_IND,EU27_2007	41.08 	48.98 	58.54 	64.90 	66.93 	73.42 	77.38 	: 
I_IUMD,EMPL_UNE,PC_IND,EU27_2020	36.85 	45.42 	55.31 	61.93 	63.67 	70.76 	75.30 	81.26 
I_IUMD,EMPL_UNE,PC_IND,EU28	41.10 	48.95 	58.44 	64.85 	66.90 	73.36 	77.36 	83.15 
I_IUMD,EMPL_UNE,PC_IND,FI	63.52 	67.67 	76.12 	81.03 	83.76 	87.51 	86.53 	: 
I_IUMD,EMPL_UNE,PC_IND,FR	49.06 	57.99 	66.90 	69.83 	68.82 b	78.50 	82.33 	88.86 
I_IUMD,EMPL_UNE,PC_IND,HR	43.48 	45.84 	46.59 	59.65 	64.11 	66.17 	74.25 	83.78 
I_IUMD,EMPL_UNE,PC_IND,HU	21.37 	34.69 	52.07 	63.56 	69.09 	74.29 	: u	84.88 
I_IUMD,EMPL_UNE,PC_IND,IE	57.72 	64.87 	70.91 	77.09 	76.17 	82.40 	85.84 	90.15 
I_IUMD,EMPL_UNE,PC_IND,IS	60.56 	60.98 	70.37 	: 	: 	87.46 	87.48 	90.38 
I_IUMD,EMPL_UNE,PC_IND,IT	19.53 	20.11 	26.05 	27.55 	31.55 	33.65 	43.10 	54.86 
I_IUMD,EMPL_UNE,PC_IND,LT	17.07 	27.09 	33.57 	41.48 	51.12 	63.61 	71.07 	79.26 
I_IUMD,EMPL_UNE,PC_IND,LU	68.30 	70.55 	75.02 	80.38 	81.54 	85.70 	90.58 b	92.95 
I_IUMD,EMPL_UNE,PC_IND,LV	28.08 	35.26 	39.92 	49.34 	55.66 b	65.34 	67.41 	76.66 
I_IUMD,EMPL_UNE,PC_IND,ME	34.79 	: 	: 	: 	: 	79.60 	83.21 	81.51 
